epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7877,1.77087,3.11566,1.5012,0.41977,0.46763,0.58251,0.2877,1.83377,2.67739,1.50655,0.00030027,0.00030027,0.00030027
2,66.3445,1.6383,2.02133,1.40602,0.48263,0.53905,0.60361,0.29476,1.89756,2.27146,1.58049,0.000591326,0.000591326,0.000591326
3,95.694,1.6555,1.82855,1.42485,0.54692,0.63452,0.57906,0.24455,2.0478,2.19357,1.68176,0.000870382,0.000870382,0.000870382
4,124.484,1.61872,1.65957,1.41107,0.60231,0.71497,0.70071,0.33716,1.88992,1.61106,1.5511,0.000855005,0.000855005,0.000855005
5,153.057,1.5645,1.54475,1.38407,0.75439,0.6441,0.77861,0.33621,1.84282,1.60421,1.51882,0.000837007,0.000837007,0.000837007
6,181.201,1.57962,1.46614,1.39154,0.79005,0.69957,0.79425,0.44628,1.7763,1.53016,1.53383,0.000819009,0.000819009,0.000819009
7,210.211,1.54271,1.33123,1.3695,0.65586,0.69533,0.74626,0.4276,1.71992,1.36516,1.48111,0.000801011,0.000801011,0.000801011
8,239.356,1.50427,1.27173,1.34395,0.70625,0.74045,0.79058,0.43209,1.72459,1.33915,1.49811,0.000783013,0.000783013,0.000783013
9,269.175,1.49395,1.21214,1.33724,0.70908,0.74734,0.77174,0.40947,1.8991,1.28819,1.62154,0.000765014,0.000765014,0.000765014
10,298.373,1.49174,1.18931,1.32652,0.61722,0.7512,0.70809,0.39979,1.72674,1.39932,1.49375,0.000747016,0.000747016,0.000747016
11,327.731,1.47026,1.15904,1.31462,0.67094,0.75254,0.77152,0.4016,1.7965,1.34846,1.54094,0.000729018,0.000729018,0.000729018
12,356.903,1.45983,1.1214,1.3182,0.74663,0.73597,0.76916,0.39257,1.8604,1.21729,1.58838,0.00071102,0.00071102,0.00071102
13,385.524,1.413,1.06533,1.29876,0.67944,0.74767,0.76527,0.38144,1.82515,1.18306,1.56534,0.000693022,0.000693022,0.000693022
14,414.365,1.40896,1.02997,1.28835,0.72904,0.82087,0.8067,0.46087,1.8025,1.08037,1.5577,0.000675023,0.000675023,0.000675023
15,443.91,1.40258,1.03232,1.27842,0.67838,0.80497,0.82747,0.44795,1.73937,1.10796,1.49737,0.000657025,0.000657025,0.000657025
16,472.735,1.37937,1.00537,1.28095,0.73704,0.78573,0.80859,0.44835,1.83616,0.98858,1.52101,0.000639027,0.000639027,0.000639027
17,501.528,1.35869,0.99454,1.25887,0.69521,0.83837,0.82441,0.4396,1.77115,1.09633,1.54459,0.000621029,0.000621029,0.000621029
18,530.361,1.34751,0.95768,1.25158,0.71748,0.7468,0.77811,0.45558,1.76896,1.12591,1.49518,0.000603031,0.000603031,0.000603031
19,559.531,1.32572,0.90657,1.23889,0.758,0.82326,0.78505,0.44434,1.7987,1.04187,1.57482,0.000585032,0.000585032,0.000585032
20,588.316,1.32906,0.92739,1.2407,0.74025,0.71242,0.78095,0.4354,1.8234,1.11386,1.55135,0.000567034,0.000567034,0.000567034
21,617.65,1.29635,0.88373,1.22828,0.62382,0.84621,0.74466,0.41946,1.76969,1.0377,1.45696,0.000549036,0.000549036,0.000549036
22,646.825,1.29351,0.87377,1.22218,0.69287,0.84213,0.76026,0.40486,1.83364,1.01644,1.57482,0.000531038,0.000531038,0.000531038
23,676.224,1.29217,0.87203,1.22196,0.75814,0.72227,0.77256,0.46173,1.7428,1.07246,1.49887,0.00051304,0.00051304,0.00051304
24,705.698,1.27054,0.84949,1.21554,0.75291,0.69443,0.77782,0.42364,1.76697,1.08758,1.5253,0.000495041,0.000495041,0.000495041
